"dv","iv","subject","item"
562,-0.5,"1",7
790,0.5,"1",21
NA,-0.5,"1",19
251,0.5,"1",17
674,-0.5,"1",23
348,-0.5,"1",15
201,0.5,"1",1
347,0.5,"1",5
1043,-0.5,"1",3
356,0.5,"1",13
451,-0.5,"1",11
335,0.5,"1",9
376,-0.5,"2",14
941,0.5,"2",4
210,-0.5,"2",18
491,-0.5,"2",6
1057,-0.5,"2",22
734,-0.5,"2",10
646,0.5,"2",8
448,0.5,"2",24
181,-0.5,"2",2
244,0.5,"2",20
142,0.5,"2",16
269,0.5,"2",12
465,0.5,"3",11
145,-0.5,"3",21
564,-0.5,"3",9
868,0.5,"3",3
826,-0.5,"3",1
1643,-0.5,"3",13
440,0.5,"3",7
579,-0.5,"3",5
757,0.5,"3",15
409,-0.5,"3",17
1874,0.5,"3",19
1072,0.5,"3",23
334,0.5,"4",14
197,0.5,"4",22
169,0.5,"4",18
166,0.5,"4",6
155,0.5,"4",10
148,-0.5,"4",12
234,-0.5,"4",20
469,-0.5,"4",16
236,0.5,"4",2
135,-0.5,"4",24
344,-0.5,"4",8
605,-0.5,"4",4
169,-0.5,"5",19
918,0.5,"5",21
600,0.5,"5",13
219,0.5,"5",9
734,-0.5,"5",3
161,-0.5,"5",15
256,0.5,"5",5
185,-0.5,"5",7
234,0.5,"5",17
299,0.5,"5",1
537,-0.5,"5",23
410,-0.5,"5",11
213,0.5,"6",12
132,-0.5,"6",14
322,-0.5,"6",22
133,-0.5,"6",2
207,0.5,"6",8
304,0.5,"6",24
98,0.5,"6",16
NA,-0.5,"6",6
433,0.5,"6",4
437,0.5,"6",20
162,-0.5,"6",10
211,-0.5,"6",18
1242,0.5,"7",23
783,-0.5,"7",1
146,-0.5,"7",13
991,0.5,"7",11
NA,-0.5,"7",5
531,0.5,"7",3
368,0.5,"7",19
139,0.5,"7",7
569,0.5,"7",15
223,-0.5,"7",17
357,-0.5,"7",21
167,-0.5,"7",9
245,0.5,"8",2
226,0.5,"8",18
272,0.5,"8",14
219,-0.5,"8",4
283,0.5,"8",6
261,-0.5,"8",12
343,0.5,"8",10
370,-0.5,"8",16
NA,-0.5,"8",8
154,0.5,"8",22
281,-0.5,"8",24
479,-0.5,"8",20
515,0.5,"9",9
1128,-0.5,"9",3
148,0.5,"9",5
326,-0.5,"9",7
495,0.5,"9",13
281,-0.5,"9",23
166,0.5,"9",1
197,0.5,"9",21
183,-0.5,"9",15
NA,0.5,"9",17
726,-0.5,"9",11
160,-0.5,"9",19
781,0.5,"10",20
363,-0.5,"10",6
752,0.5,"10",4
477,-0.5,"10",2
227,0.5,"10",16
341,-0.5,"10",18
170,-0.5,"10",10
204,-0.5,"10",22
343,-0.5,"10",14
185,0.5,"10",12
266,0.5,"10",8
710,0.5,"10",24
652,0.5,"11",15
194,-0.5,"11",13
374,-0.5,"11",9
886,0.5,"11",19
516,0.5,"11",23
512,-0.5,"11",21
582,0.5,"11",7
304,-0.5,"11",5
534,0.5,"11",3
324,-0.5,"11",1
628,-0.5,"11",17
492,0.5,"11",11
647,-0.5,"12",6
511,-0.5,"12",10
625,-0.5,"12",18
636,0.5,"12",16
846,0.5,"12",8
867,-0.5,"12",2
364,0.5,"12",4
236,-0.5,"12",14
325,0.5,"12",24
196,0.5,"12",12
260,-0.5,"12",22
445,0.5,"12",20
410,0.5,"13",18
266,-0.5,"13",4
366,0.5,"13",10
410,-0.5,"13",20
806,0.5,"13",22
458,-0.5,"13",24
749,-0.5,"13",12
NA,-0.5,"13",16
513,-0.5,"13",8
NA,0.5,"13",14
294,0.5,"13",2
279,0.5,"13",6
815,0.5,"14",5
343,0.5,"14",21
975,-0.5,"14",3
356,-0.5,"14",11
487,-0.5,"14",23
414,0.5,"14",13
153,-0.5,"14",19
741,0.5,"14",1
636,0.5,"14",17
1008,0.5,"14",9
207,-0.5,"14",15
198,-0.5,"14",7
978,0.5,"15",16
1451,0.5,"15",4
311,-0.5,"15",22
1662,0.5,"15",8
210,-0.5,"15",6
211,-0.5,"15",2
208,-0.5,"15",10
171,0.5,"15",12
294,-0.5,"15",18
712,0.5,"15",20
260,-0.5,"15",14
701,0.5,"15",24
596,0.5,"16",3
651,-0.5,"16",13
419,-0.5,"16",21
325,0.5,"16",15
934,0.5,"16",7
787,0.5,"16",11
313,-0.5,"16",9
220,0.5,"16",19
438,-0.5,"16",5
889,-0.5,"16",17
521,0.5,"16",23
639,-0.5,"16",1
638,0.5,"17",10
577,-0.5,"17",12
335,-0.5,"17",16
318,-0.5,"17",8
361,0.5,"17",14
1044,0.5,"17",6
271,0.5,"17",2
221,-0.5,"17",4
121,0.5,"17",18
157,-0.5,"17",20
397,-0.5,"17",24
586,0.5,"17",22
1447,-0.5,"18",23
161,0.5,"18",9
310,0.5,"18",17
271,0.5,"18",13
124,-0.5,"18",19
566,0.5,"18",5
161,-0.5,"18",11
387,0.5,"18",1
149,0.5,"18",21
568,-0.5,"18",15
196,-0.5,"18",7
1182,-0.5,"18",3
532,-0.5,"19",14
553,0.5,"19",24
220,-0.5,"19",22
519,-0.5,"19",6
886,0.5,"19",8
349,0.5,"19",16
211,-0.5,"19",2
514,-0.5,"19",10
500,0.5,"19",20
461,-0.5,"19",18
658,0.5,"19",4
280,0.5,"19",12
426,-0.5,"20",21
NA,0.5,"20",11
124,-0.5,"20",5
197,-0.5,"20",1
318,0.5,"20",23
247,-0.5,"20",9
140,-0.5,"20",17
290,0.5,"20",19
215,-0.5,"20",13
393,0.5,"20",7
268,0.5,"20",15
438,0.5,"20",3
478,0.5,"21",22
356,0.5,"21",2
312,0.5,"21",14
326,-0.5,"21",8
216,-0.5,"21",20
758,-0.5,"21",4
204,0.5,"21",10
842,-0.5,"21",16
244,0.5,"21",18
NA,-0.5,"21",24
NA,-0.5,"21",12
NA,0.5,"21",6
494,0.5,"22",9
270,0.5,"22",5
717,-0.5,"22",15
571,-0.5,"22",19
351,-0.5,"22",3
180,0.5,"22",1
92,0.5,"22",13
289,-0.5,"22",11
288,0.5,"22",17
435,-0.5,"22",7
529,0.5,"22",21
485,-0.5,"22",23
163,-0.5,"23",9
781,0.5,"23",11
128,-0.5,"23",13
578,0.5,"23",19
653,0.5,"23",23
679,-0.5,"23",5
289,-0.5,"23",1
192,-0.5,"23",21
395,0.5,"23",7
305,0.5,"23",3
411,-0.5,"23",17
280,0.5,"23",15
432,-0.5,"24",22
218,-0.5,"24",6
776,0.5,"24",12
649,-0.5,"24",18
637,0.5,"24",24
703,-0.5,"24",14
321,0.5,"24",20
1628,0.5,"24",4
342,0.5,"24",16
712,-0.5,"24",2
223,-0.5,"24",10
275,0.5,"24",8
156,-0.5,"25",21
508,-0.5,"25",1
677,0.5,"25",23
212,0.5,"25",19
186,-0.5,"25",9
247,0.5,"25",15
746,-0.5,"25",13
NA,-0.5,"25",17
NA,-0.5,"25",5
208,0.5,"25",7
1350,0.5,"25",3
726,0.5,"25",11
689,0.5,"26",2
315,-0.5,"26",4
1013,0.5,"26",14
596,-0.5,"26",24
240,-0.5,"26",20
495,0.5,"26",6
726,-0.5,"26",8
220,0.5,"26",18
440,0.5,"26",22
312,0.5,"26",10
220,-0.5,"26",16
213,-0.5,"26",12
543,-0.5,"27",7
NA,0.5,"27",17
140,-0.5,"27",11
406,-0.5,"27",15
371,0.5,"27",1
483,0.5,"27",13
437,-0.5,"27",23
1024,-0.5,"27",3
NA,0.5,"27",5
229,0.5,"27",21
500,0.5,"27",9
485,-0.5,"27",19
926,0.5,"28",8
412,-0.5,"28",18
452,0.5,"28",4
166,0.5,"28",12
206,-0.5,"28",2
204,-0.5,"28",10
218,-0.5,"28",22
910,0.5,"28",20
230,0.5,"28",24
182,-0.5,"28",14
538,0.5,"28",16
NA,-0.5,"28",6
498,-0.5,"29",21
1108,0.5,"29",19
256,-0.5,"29",17
250,-0.5,"29",13
360,0.5,"29",15
598,0.5,"29",3
194,-0.5,"29",9
718,0.5,"29",7
450,0.5,"29",11
822,0.5,"29",23
216,-0.5,"29",1
236,-0.5,"29",5
1558,0.5,"30",6
214,-0.5,"30",20
526,0.5,"30",18
1586,0.5,"30",2
1184,0.5,"30",14
976,-0.5,"30",4
548,0.5,"30",10
500,-0.5,"30",24
200,-0.5,"30",12
530,-0.5,"30",8
700,0.5,"30",22
470,-0.5,"30",16
754,0.5,"31",21
214,-0.5,"31",15
734,0.5,"31",1
154,0.5,"31",13
844,0.5,"31",5
616,-0.5,"31",11
1148,-0.5,"31",23
652,0.5,"31",9
1532,-0.5,"31",7
694,-0.5,"31",3
690,0.5,"31",17
468,-0.5,"31",19
802,0.5,"32",20
142,0.5,"32",4
486,-0.5,"32",10
184,0.5,"32",12
642,0.5,"32",8
332,-0.5,"32",18
NA,-0.5,"32",14
392,-0.5,"32",2
NA,-0.5,"32",22
NA,0.5,"32",24
148,0.5,"32",16
NA,-0.5,"32",6
1062,0.5,"33",11
510,-0.5,"33",1
556,0.5,"33",15
536,0.5,"33",23
348,0.5,"33",7
1116,0.5,"33",3
270,-0.5,"33",21
424,-0.5,"33",13
354,-0.5,"33",9
202,0.5,"33",19
460,-0.5,"33",17
186,-0.5,"33",5
968,-0.5,"34",16
3310,0.5,"34",14
299,-0.5,"34",24
1535,0.5,"34",2
343,0.5,"34",18
856,0.5,"34",22
1108,-0.5,"34",4
1182,-0.5,"34",20
512,-0.5,"34",8
616,-0.5,"34",12
530,0.5,"34",10
1131,0.5,"34",6
442,0.5,"35",10
224,-0.5,"35",4
228,0.5,"35",18
224,-0.5,"35",20
574,0.5,"35",14
410,0.5,"35",2
206,-0.5,"35",12
NA,-0.5,"35",24
266,0.5,"35",22
300,0.5,"35",6
358,-0.5,"35",8
362,-0.5,"35",16
518,-0.5,"36",19
293,0.5,"36",21
885,0.5,"36",13
148,-0.5,"36",11
514,0.5,"36",5
503,-0.5,"36",15
750,0.5,"36",1
295,-0.5,"36",7
296,-0.5,"36",23
NA,0.5,"36",17
405,0.5,"36",9
602,-0.5,"36",3
251,0.5,"37",20
491,0.5,"37",24
218,0.5,"37",4
209,-0.5,"37",6
822,0.5,"37",16
93,-0.5,"37",22
211,-0.5,"37",14
209,-0.5,"37",2
252,0.5,"37",8
159,-0.5,"37",10
239,0.5,"37",12
265,-0.5,"37",18
184,-0.5,"38",17
523,-0.5,"38",21
NA,0.5,"38",11
254,-0.5,"38",9
239,-0.5,"38",13
236,0.5,"38",3
237,0.5,"38",23
NA,-0.5,"38",5
476,0.5,"38",19
274,0.5,"38",7
271,0.5,"38",15
259,-0.5,"38",1
824,-0.5,"39",4
485,-0.5,"39",20
302,0.5,"39",2
447,-0.5,"39",8
214,-0.5,"39",12
514,-0.5,"39",24
901,0.5,"39",22
233,0.5,"39",6
308,-0.5,"39",16
234,0.5,"39",14
588,0.5,"39",10
175,0.5,"39",18
485,-0.5,"40",19
327,0.5,"40",9
834,0.5,"40",17
NA,-0.5,"40",3
513,-0.5,"40",7
189,0.5,"40",1
160,0.5,"40",13
153,0.5,"40",5
NA,-0.5,"40",11
545,-0.5,"40",15
293,-0.5,"40",23
163,0.5,"40",21
